condition,r,s,compound,k,tR,note
8,0.71,0.41,Aniline,2.7681071927381944,16.304321578214584,from B and Nitrobenzene
8,0.71,0.41,Benzylamine,-0.9778756909385584,5.066372927184324,from C and Phenol baseline
8,0.71,0.41,Phenol(pred),3.016749595951277,17.050248787853832,from A and Nitrobenzene
8,0.71,0.41,Aniline,2.7681071927381944,16.304321578214584,from B and Nitrobenzene
8,0.71,0.41,Benzylamine,-0.9778756909385584,5.066372927184324,from C and Phenol
9,0.65,0.33,Phenol,-0.6,6.2,baseline(measured_fallback)
9,0.65,0.33,Nitrobenzene,2.0,14.0,from A
9,0.65,0.33,Aniline,2.649308550717365,15.947925652152096,from B and Nitrobenzene
9,0.65,0.33,Benzylamine,-0.9131712129767964,5.260486361069611,from C and Phenol baseline
9,0.65,0.33,Phenol(pred),2.470623134133134,15.411869402399402,from A and Nitrobenzene
9,0.65,0.33,Aniline,2.649308550717365,15.947925652152096,from B and Nitrobenzene
9,0.65,0.33,Benzylamine,-0.9131712129767964,5.260486361069611,from C and Phenol
10,0.68,0.19,Phenol,-0.6,6.2,baseline(measured_fallback)
10,0.68,0.19,Nitrobenzene,2.0,14.0,from A
10,0.68,0.19,Aniline,3.032453392200558,17.097360176601676,from B and Nitrobenzene
10,0.68,0.19,Benzylamine,-0.9134981748991804,5.259505475302459,from C and Phenol baseline
10,0.68,0.19,Phenol(pred),3.0225255473448605,17.067576642034584,from A and Nitrobenzene
10,0.68,0.19,Aniline,3.032453392200558,17.097360176601676,from B and Nitrobenzene
10,0.68,0.19,Benzylamine,-0.9134981748991804,5.259505475302459,from C and Phenol
