condition,r,s,compound,k,tR,note
5,0.66,0.27,Benzylamine,-1.0442444794545684,-0.13273343836370533,from C and Phenol baseline
5,0.66,0.27,Phenol(pred),3.1233051077427536,12.36991532322826,from A and Nitrobenzene
5,0.66,0.27,Aniline,2.7682664628802827,11.304799388640848,from B and Nitrobenzene
5,0.66,0.27,Benzylamine,-1.0442444794545684,-0.13273343836370533,from C and Phenol
6,0.62,0.33,Phenol,-0.6,1.2000000000000002,baseline(measured_fallback)
6,0.62,0.33,Nitrobenzene,2.0,9.0,from A
6,0.62,0.33,Aniline,2.9059124360402664,11.7177373081208,from B and Nitrobenzene
6,0.62,0.33,Benzylamine,-0.9611083271112956,0.1166750186661133,from C and Phenol baseline
6,0.62,0.33,Phenol(pred),3.0199650018023108,12.059895005406931,from A and Nitrobenzene
6,0.62,0.33,Aniline,2.9059124360402664,11.7177373081208,from B and Nitrobenzene
6,0.62,0.33,Benzylamine,-0.9611083271112956,0.1166750186661133,from C and Phenol
7,0.7,0.22,Phenol,-0.6,1.2000000000000002,baseline(measured_fallback)
7,0.7,0.22,Nitrobenzene,2.0,9.0,from A
7,0.7,0.22,Aniline,3.127914991646694,12.383744974940083,from B and Nitrobenzene
7,0.7,0.22,Benzylamine,-1.1730568174813503,-0.5191704524440508,from C and Phenol baseline
7,0.7,0.22,Phenol(pred),2.7710513713776415,11.313154114132924,from A and Nitrobenzene
7,0.7,0.22,Aniline,3.127914991646694,12.383744974940083,from B and Nitrobenzene
7,0.7,0.22,Benzylamine,-1.1730568174813503,-0.5191704524440508,from C and Phenol
8,0.71,0.41,Phenol,-0.6,1.2000000000000002,baseline(measured_fallback)
8,0.71,0.41,Nitrobenzene,2.0,9.0,from A
8,0.71,0.41,Aniline,2.7681071927381944,11.304321578214584,from B and Nitrobenzene
8,0.71,0.41,Benzylamine,-0.9778756909385585,0.06637292718432442,from C and Phenol baseline
8,0.71,0.41,Phenol(pred),3.016749595951277,12.05024878785383,from A and Nitrobenzene
8,0.71,0.41,Aniline,2.7681071927381944,11.304321578214584,from B and Nitrobenzene
8,0.71,0.41,Benzylamine,-0.9778756909385585,0.06637292718432442,from C and Phenol
9,0.65,0.33,Phenol,-0.6,1.2000000000000002,baseline(measured_fallback)
9,0.65,0.33,Nitrobenzene,2.0,9.0,from A
9,0.65,0.33,Aniline,2.649308550717365,10.947925652152096,from B and Nitrobenzene
9,0.65,0.33,Benzylamine,-0.9131712129767964,0.26048636106961087,from C and Phenol baseline
9,0.65,0.33,Phenol(pred),2.470623134133134,10.411869402399402,from A and Nitrobenzene
9,0.65,0.33,Aniline,2.649308550717365,10.947925652152096,from B and Nitrobenzene
9,0.65,0.33,Benzylamine,-0.9131712129767964,0.26048636106961087,from C and Phenol
10,0.68,0.19,Phenol,-0.6,1.2000000000000002,baseline(measured_fallback)
10,0.68,0.19,Nitrobenzene,2.0,9.0,from A
10,0.68,0.19,Aniline,3.032453392200558,12.097360176601676,from B and Nitrobenzene
10,0.68,0.19,Benzylamine,-0.9134981748991805,0.2595054753024585,from C and Phenol baseline
10,0.68,0.19,Phenol(pred),3.0225255473448605,12.067576642034583,from A and Nitrobenzene
10,0.68,0.19,Aniline,3.032453392200558,12.097360176601676,from B and Nitrobenzene
10,0.68,0.19,Benzylamine,-0.9134981748991805,0.2595054753024585,from C and Phenol
